iso3,ais_ms_h1_2025,ais_aei_aug2025
AFG,0.172568,
AGO,-0.200491,-1.533303
ALB,-0.071688,0.320733
ARE,1.458225,-0.225532
ARG,0.022360,-0.166212
ARM,-1.018082,1.103664
AUS,0.175247,1.143043
AUT,-0.040710,-0.395481
AZE,-0.007190,-0.653040
BDI,0.532772,-0.106726
BEL,0.194148,-0.271967
BEN,-0.005817,0.667790
BFA,0.191482,-0.187530
BGD,-0.461737,-0.906449
BGR,0.327833,0.390414
BIH,0.161452,0.075409
BLR,-0.844972,
BOL,0.023142,0.334927
BRA,-0.008725,0.276578
BWA,-0.325178,-0.468263
CAF,0.213564,
CAN,0.331065,0.227539
CHE,-0.127369,-0.266916
CHL,0.063347,0.163290
CHN,-0.188778,
CIV,-0.022625,-0.006527
CMR,-0.332680,0.385989
COD,0.100221,
COG,-0.498944,-0.418413
COL,0.518642,0.484217
CRI,0.404564,0.329632
CUB,-1.145256,
CZE,0.069767,0.061174
DEU,-0.160854,-0.343053
DNK,-0.250773,-0.215371
DOM,0.425194,-0.257827
DZA,-0.294765,-0.191833
ECU,0.305197,0.653729
EGY,0.003662,0.203044
ESP,0.691547,-0.298397
ETH,-0.316284,
FIN,-0.199598,-0.275693
FRA,0.607802,-0.161020
GAB,-0.396072,-0.405937
GBR,0.370024,0.140658
GEO,0.172764,1.376209
GHA,-0.222149,0.716870
GIN,-0.076733,-1.455622
GMB,0.436122,
GNB,0.186682,
GRC,-0.313034,-0.040782
GTM,0.113461,-0.294034
GUY,-1.077213,
HND,0.244695,-0.306890
HRV,-0.012427,0.134042
HTI,-0.121799,-1.179531
HUN,0.307092,-0.303833
IDN,-0.079344,-0.132384
IND,0.476729,0.048700
IRL,0.280009,-0.508550
IRN,-0.260287,
IRQ,-0.271664,-0.213931
ISR,0.300576,1.177122
ITA,-0.048280,-0.303795
JAM,0.644311,0.208175
JOR,0.945546,0.203925
JPN,-0.518679,-0.002707
KAZ,-0.397684,-0.744571
KEN,-0.279661,1.104306
KGZ,-0.159118,0.091527
KHM,-0.683204,0.216602
KOR,0.083818,0.956757
KWT,-0.421910,-1.410763
LAO,-0.446317,0.314414
LBN,1.009097,0.829364
LBR,0.246076,
LBY,-0.280625,
LKA,-0.685390,1.125542
LSO,0.208441,0.592383
LTU,-0.163557,0.428145
MAR,-0.234671,1.211803
MDA,0.143282,0.878732
MDG,0.456321,0.682453
MEX,-0.051283,-0.876114
MLI,0.196020,
MMR,0.166132,
MNG,-0.046284,-0.406020
MOZ,0.379818,0.205415
MRT,-0.176960,-0.677415
MWI,0.341685,-0.244460
MYS,0.098821,0.083315
NAM,-0.019812,0.397013
NER,0.335155,-1.490469
NGA,-0.075246,0.306958
NIC,0.085369,
NLD,0.253665,-0.047061
NOR,0.498306,-0.400456
NPL,0.544120,0.985914
NZL,0.565092,1.479850
OMN,0.116020,-1.270530
PAK,0.275960,0.268788
PAN,0.076402,-0.181070
PER,-0.068498,0.375965
PHL,0.492560,0.291756
PNG,-0.761367,-2.713770
POL,0.226528,0.230186
PRT,-0.079215,0.304925
PRY,-0.295352,0.144871
QAT,0.177552,-1.229623
ROU,-0.400111,-0.084023
RUS,-1.131695,
RWA,-0.277150,1.140882
SAU,0.001378,-1.236999
SDN,-0.555090,
SEN,0.307435,0.720803
SGP,1.186976,0.607728
SLE,0.492952,-0.316853
SLV,0.209120,-0.099911
SOM,0.000216,
SRB,0.131229,0.596957
SUR,-0.517021,
SVK,-0.054978,-0.320710
SVN,-0.026668,0.013975
SWE,0.062964,-0.156246
SYR,0.457448,
TCD,0.075600,-1.276386
TGO,0.145986,0.125991
THA,-0.536513,0.627438
TJK,-0.371103,-1.027651
TKM,-1.221867,
TUN,-0.075433,1.379722
TUR,-0.349097,-0.164617
TZA,-0.280452,-1.126018
UGA,-0.209362,-0.250953
UKR,-0.423280,0.862917
URY,0.021310,0.057223
USA,-0.259681,0.082291
UZB,-0.592063,-1.241483
VNM,0.713700,0.514605
ZAF,0.298135,0.385938
ZMB,0.343153,-0.113610
ZWE,-0.332918,0.038834
