iso3,economy,h1_2025,h2_2025,q1_2026,gdp_usd,gdp_year,pop,pop_year,gdp_pc,region,subregion,ldc,wc_year,wc14_share,wc13_share,wc14_thousands,emp_total_thousands
AFG,Afghanistan,5.1,5.6,6.1,14502158192.090395,2022,42647492.0,2024,340.04715194249627,Asia,Southern Asia,True,2021,0.081675,0.080243,627.218,7679.474
AGO,Angola,8.9,9.7,10.9,84722957642.37566,2023,37885849.0,2024,2236.2692107645694,Africa,Sub-Saharan Africa,True,2025,0.097776,0.089400,1367.390,13984.984
ALB,Albania,15.8,16.5,18.5,22977677860.797855,2023,2377128.0,2024,9666.15085969197,Europe,Southern Europe,False,2024,0.221639,0.204867,260.592,1175.749
ARE,United Arab Emirates,59.4,64.0,70.1,504173451327.43365,2023,10986400.0,2024,45890.68769819356,Asia,Western Asia,False,2024,0.396427,0.336285,3665.483,9246.304
ARG,Argentina,17.8,19.6,21.9,640591410663.8834,2023,45696159.0,2024,14018.495748491321,Americas,Latin America and the Caribbean,False,2025,0.379990,0.266291,5094.104,13405.902
ARM,Armenia,6.2,6.6,7.4,24212134631.064003,2023,3033500.0,2024,7981.583857281689,Asia,Western Asia,False,2017,0.327874,0.293848,331.718,1011.724
AUS,Australia,34.5,36.9,39.5,1723827215334.7063,2023,27196812.0,2024,63383.42947455409,Oceania,Australia and New Zealand,False,2025,0.585890,0.501066,8558.859,14608.302
AUT,Austria,29.1,31.4,34.1,516034144115.9503,2023,9177982.0,2024,56225.22948028775,Europe,Western Europe,False,2025,0.559429,0.465573,2517.517,4500.156
AZE,Azerbaijan,14.2,15.5,17.7,72356176470.58824,2023,10202830.0,2024,7091.775171260155,Asia,Western Asia,False,,,,,
BDI,Burundi,6.4,6.8,7.6,2642161668.9275384,2023,14047786.0,2024,188.08384957797182,Africa,Sub-Saharan Africa,True,2020,0.030903,0.027490,153.081,4953.660
BEL,Belgium,33.5,36.0,39.0,632216577075.1093,2023,11858610.0,2024,53312.87369051763,Europe,Western Europe,False,2025,0.626636,0.522977,3225.070,5146.639
