iso3,nace,exposure,year,dlp_hw,flag
AUT,C,control,2000,6.3,
AUT,C,control,2001,3.4,
AUT,C,control,2002,2.0,
AUT,C,control,2003,1.2,
AUT,C,control,2004,2.8,
AUT,C,control,2005,5.0,
AUT,C,control,2006,7.6,
AUT,C,control,2007,5.4,
AUT,C,control,2008,1.1,
AUT,C,control,2009,-7.6,
AUT,C,control,2010,7.8,
AUT,C,control,2011,5.4,
AUT,C,control,2012,1.3,
AUT,C,control,2013,0.8,
AUT,C,control,2014,2.1,
AUT,C,control,2015,0.8,
AUT,C,control,2016,4.4,
AUT,C,control,2017,2.2,
AUT,C,control,2018,1.8,
AUT,C,control,2019,0.1,
AUT,C,control,2020,-2.1,
AUT,C,control,2021,5.4,
AUT,C,control,2022,6.8,
AUT,C,control,2023,-4.2,
AUT,C,control,2024,-5.5,
AUT,C,control,2025,3.6,
AUT,F,control,2000,1.1,
AUT,F,control,2001,0.5,
AUT,F,control,2002,2.8,
AUT,F,control,2003,2.6,
AUT,F,control,2004,0.9,
AUT,F,control,2005,1.3,
AUT,F,control,2006,-3.1,
AUT,F,control,2007,1.1,
AUT,F,control,2008,-4.1,
AUT,F,control,2009,-5.3,
AUT,F,control,2010,-6.2,
AUT,F,control,2011,-4.2,
AUT,F,control,2012,-0.2,
AUT,F,control,2013,1.2,
AUT,F,control,2014,-1.9,
AUT,F,control,2015,-1.3,
AUT,F,control,2016,-0.5,
AUT,F,control,2017,0.8,
AUT,F,control,2018,-0.7,
AUT,F,control,2019,-5.2,
AUT,F,control,2020,1.2,
AUT,F,control,2021,-12.5,
AUT,F,control,2022,-8.1,
AUT,F,control,2023,-2.0,
AUT,F,control,2024,-3.9,
AUT,F,control,2025,-0.8,
AUT,G-I,control,2000,2.4,
AUT,G-I,control,2001,0.3,
AUT,G-I,control,2002,2.1,
AUT,G-I,control,2003,0.8,
AUT,G-I,control,2004,0.6,
AUT,G-I,control,2005,2.7,
AUT,G-I,control,2006,1.4,
AUT,G-I,control,2007,1.3,
AUT,G-I,control,2008,-0.2,
AUT,G-I,control,2009,1.1,
AUT,G-I,control,2010,1.6,
AUT,G-I,control,2011,2.3,
AUT,G-I,control,2012,-0.9,
AUT,G-I,control,2013,-1.7,
AUT,G-I,control,2014,2.4,
AUT,G-I,control,2015,3.5,
AUT,G-I,control,2016,-2.4,
AUT,G-I,control,2017,2.6,
AUT,G-I,control,2018,0.6,
AUT,G-I,control,2019,1.0,
AUT,G-I,control,2020,5.2,
AUT,G-I,control,2021,-4.2,
AUT,G-I,control,2022,5.4,
AUT,G-I,control,2023,-4.3,
AUT,G-I,control,2024,-2.7,
AUT,G-I,control,2025,1.2,
AUT,J,exposed,2000,-7.6,
AUT,J,exposed,2001,7.3,
AUT,J,exposed,2002,1.4,
AUT,J,exposed,2003,4.6,
AUT,J,exposed,2004,2.4,
AUT,J,exposed,2005,9.5,
AUT,J,exposed,2006,2.6,
AUT,J,exposed,2007,12.2,
AUT,J,exposed,2008,-1.9,
AUT,J,exposed,2009,-3.0,
AUT,J,exposed,2010,-4.5,
AUT,J,exposed,2011,1.1,
AUT,J,exposed,2012,-0.2,
AUT,J,exposed,2013,-1.4,
AUT,J,exposed,2014,-5.8,
AUT,J,exposed,2015,3.2,
AUT,J,exposed,2016,3.8,
AUT,J,exposed,2017,-1.1,
AUT,J,exposed,2018,3.9,
AUT,J,exposed,2019,1.2,
AUT,J,exposed,2020,8.3,
AUT,J,exposed,2021,1.8,
AUT,J,exposed,2022,2.5,
AUT,J,exposed,2023,0.1,
AUT,J,exposed,2024,1.4,
AUT,J,exposed,2025,2.6,
AUT,K,exposed,2000,12.6,
AUT,K,exposed,2001,-1.6,
AUT,K,exposed,2002,4.9,
AUT,K,exposed,2003,-2.2,
AUT,K,exposed,2004,9.6,
AUT,K,exposed,2005,1.1,
AUT,K,exposed,2006,6.0,
AUT,K,exposed,2007,6.4,
AUT,K,exposed,2008,-2.1,
AUT,K,exposed,2009,5.9,
AUT,K,exposed,2010,0.3,
AUT,K,exposed,2011,2.1,
AUT,K,exposed,2012,3.0,
AUT,K,exposed,2013,-1.4,
AUT,K,exposed,2014,-0.5,
AUT,K,exposed,2015,6.3,
AUT,K,exposed,2016,-3.2,
AUT,K,exposed,2017,12.2,
AUT,K,exposed,2018,4.4,
AUT,K,exposed,2019,1.8,
AUT,K,exposed,2020,4.2,
AUT,K,exposed,2021,9.6,
AUT,K,exposed,2022,2.6,
AUT,K,exposed,2023,-6.4,
AUT,K,exposed,2024,2.0,
AUT,K,exposed,2025,-4.9,
AUT,M,exposed,2000,-5.1,
AUT,M,exposed,2001,-0.7,
AUT,M,exposed,2002,1.2,
AUT,M,exposed,2003,0.5,
AUT,M,exposed,2004,-3.4,
AUT,M,exposed,2005,4.9,
AUT,M,exposed,2006,1.2,
AUT,M,exposed,2007,-0.5,
AUT,M,exposed,2008,-2.3,
AUT,M,exposed,2009,-1.1,
AUT,M,exposed,2010,-0.1,
AUT,M,exposed,2011,2.4,
AUT,M,exposed,2012,3.9,
AUT,M,exposed,2013,-0.8,
AUT,M,exposed,2014,0.5,
AUT,M,exposed,2015,4.6,
AUT,M,exposed,2016,2.6,
AUT,M,exposed,2017,-0.1,
AUT,M,exposed,2018,1.3,
AUT,M,exposed,2019,1.9,
AUT,M,exposed,2020,2.5,
AUT,M,exposed,2021,-0.6,
AUT,M,exposed,2022,6.7,
AUT,M,exposed,2023,-1.6,
AUT,M,exposed,2024,-1.2,
BEL,C,control,2000,4.2,
BEL,C,control,2001,0.6,
BEL,C,control,2002,3.9,
BEL,C,control,2003,3.6,
BEL,C,control,2004,6.9,
BEL,C,control,2005,3.9,
BEL,C,control,2006,-2.1,
BEL,C,control,2007,7.1,
BEL,C,control,2008,-2.2,
BEL,C,control,2009,3.6,b
BEL,C,control,2010,5.2,
BEL,C,control,2011,-1.0,
BEL,C,control,2012,0.4,
BEL,C,control,2013,4.6,
BEL,C,control,2014,4.0,
BEL,C,control,2015,3.6,
BEL,C,control,2016,-2.4,
BEL,C,control,2017,1.2,
BEL,C,control,2018,0.6,
BEL,C,control,2019,2.6,
BEL,C,control,2020,1.5,
BEL,C,control,2021,-10.5,
BEL,C,control,2022,13.2,
BEL,C,control,2023,-0.7,
BEL,C,control,2024,0.5,p
BEL,C,control,2025,1.8,p
BEL,F,control,2000,3.1,
BEL,F,control,2001,1.1,
BEL,F,control,2002,-1.2,
BEL,F,control,2003,3.8,
BEL,F,control,2004,7.4,
BEL,F,control,2005,4.3,
BEL,F,control,2006,3.7,
BEL,F,control,2007,-2.7,
BEL,F,control,2008,-0.7,
BEL,F,control,2009,2.0,b
BEL,F,control,2010,2.2,
BEL,F,control,2011,-1.8,
BEL,F,control,2012,1.0,
BEL,F,control,2013,1.0,
BEL,F,control,2014,-0.1,
BEL,F,control,2015,2.2,
BEL,F,control,2016,-1.2,
BEL,F,control,2017,-1.2,
BEL,F,control,2018,0.8,
BEL,F,control,2019,1.6,
BEL,F,control,2020,-0.2,
BEL,F,control,2021,-2.1,
BEL,F,control,2022,-3.1,
BEL,F,control,2023,-1.8,
BEL,F,control,2024,2.6,p
BEL,F,control,2025,2.1,p
BEL,G-I,control,2000,-1.6,
BEL,G-I,control,2001,2.6,
BEL,G-I,control,2002,1.1,
BEL,G-I,control,2003,4.1,
BEL,G-I,control,2004,3.0,
BEL,G-I,control,2005,0.8,
BEL,G-I,control,2006,1.5,
BEL,G-I,control,2007,3.5,
BEL,G-I,control,2008,1.6,
BEL,G-I,control,2009,-2.2,b
BEL,G-I,control,2010,3.7,
BEL,G-I,control,2011,1.0,
BEL,G-I,control,2012,-1.1,
BEL,G-I,control,2013,0.4,
BEL,G-I,control,2014,2.4,
BEL,G-I,control,2015,1.1,
BEL,G-I,control,2016,-0.6,
BEL,G-I,control,2017,-3.0,
BEL,G-I,control,2018,0.5,
BEL,G-I,control,2019,0.1,
BEL,G-I,control,2020,5.4,
BEL,G-I,control,2021,2.0,
BEL,G-I,control,2022,-4.8,
BEL,G-I,control,2023,0.7,
BEL,G-I,control,2024,0.4,p
