"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","UNIT","COUNTRY_UPDATE_DATE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","LATEST_ACTUAL_ANNUAL_DATA","HISTORICAL_DATA_SOURCE","BASE_YEAR","START_END_MONTHS_OF_REPORTING_YEAR","CHAIN_WEIGHTED","BASIS_OF_PROJECTIONS","VALUATION","PRICES_SECTOR_HARMONIZED_PRICES","LABOR_SECTOR_EMPLOYMENT_TYPE","FISCAL_SECTOR_GENERAL_GOVERNMENT_COMPOSITION","FISCAL_SECTOR_VALUATION_OF_DEBT","FISCAL_SECTOR_INSTRUMENTS_INCLUDED_IN_GROSS_AND_NET_DEBT","TRADE_SECTOR_OIL_COVERAGE","PRIMARY_DOMESTIC_CURRENCY","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","GBR.NGDPD.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","US dollar","9/13/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","European System of Accounts (ESA) 2010","Base year changed from 2022 to 2023 by the Office of National Statistics as of Sep 30, 2025.","2025","National Statistics Office","2023","January/December","Yes, from 1980","","","","","","","","","British pound","604.664","589.092","560.122","533.763","505.859","538.269","656.445","816.119","992.545","1010.843","1200.911","1252.495","1293.728","1158.966","1245.905","1349.359","1426.746","1569.646","1660.979","1693.878","1674.765","1656.597","1793.363","2063.105","2430.872","2554.229","2723.389","3105.890","2976.398","2438.053","2499.193","2676.507","2720.200","2798.728","3086.969","2946.231","2716.852","2701.370","2900.745","2877.392","2725.948","3195.327","3192.851","3422.072","3695.355","4003.022","4264.794","4466.076","4675.048","4898.448","5148.434","5403.155"
"IMF.RES:WEO(9.0.0)","GBR.PCPI.A","OBS_VALUE","United Kingdom","All Items, Consumer price index (CPI), Period average","Annual","Units","Index","9/13/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","Data prior to 1988 cannot be confirmed by national sources at this time. Our PCPIE (end-period CPI data) is for December each year","2025","National Statistics Office","2015","","","","","Yes","","","","","","British pound","31.268","35.079","38.064","40.043","41.824","43.982","45.577","47.430","49.618","52.206","55.860","60.060","62.602","64.188","65.467","67.189","68.819","70.074","71.166","72.111","72.685","73.582","74.508","75.523","76.538","78.112","79.931","81.788","84.733","86.568","89.423","93.415","96.057","98.521","99.960","100.000","100.660","103.361","105.922","107.819","108.736","111.551","121.665","130.550","133.853","138.368","142.800","146.253","149.178","152.161","155.205","158.309"
"IMF.RES:WEO(9.0.0)","ITA.LP.A","OBS_VALUE","Italy","Population, Persons for countries / Index for country groups","Annual","Millions","","9/23/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","2025","National Statistics Office","","","","","","","","","","","","Euro","56.388","56.479","56.524","56.563","56.565","56.588","56.598","56.594","56.609","56.649","56.694","56.744","56.773","56.821","56.842","56.844","56.844","56.876","56.904","56.909","56.924","56.961","56.993","57.186","57.612","58.044","58.289","58.511","59.002","59.421","59.690","59.948","60.105","60.277","60.346","60.295","60.164","60.067","59.938","59.817","59.641","59.236","59.030","58.997","58.971","58.934","58.879","58.806","58.716","58.611","58.493","58.364"
"IMF.RES:WEO(9.0.0)","LIE.LE.A","OBS_VALUE","Liechtenstein, Principality of","Employed persons, Persons for countries / Index for country groups","Annual","Millions","","9/29/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","Information on the number of employees, full-time or part-time employees or the sum of full-time equivalents is taken from the Liechtenstein Business Register. Provisional results are published annually 4 months after the cut-off date of 31 December, final results 9 months after the cut-off date.","2025","National Statistics Office","","","","","","","National definition","","","","","Swiss franc","","","","","","","","","","","","","","","","","","","","","0.028","0.030","0.030","0.030","0.031","0.031","0.032","0.033","0.035","0.034","0.034","0.035","0.036","0.036","0.037","0.037","0.037","0.039","0.040","0.041","0.040","0.041","0.043","0.043","0.043","0.044","0.044","0.045","","","",""
"IMF.RES:WEO(9.0.0)","GBR.GGXONLB.A","OBS_VALUE","United Kingdom","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","Domestic currency","9/13/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2014","Note the general government variables exclude the temporary effects of financial interventions. Reporting in calendar year: Yes, Annual CY data are reconstructed from quarterly data. General government composition: The concepts of ""state government"" and ""social security funds"" are not applicable to the UK. Instruments included in gross and net debt: Net debt is defined as total gross financial liabilities less liquid financial assets, where liquid assets are cash and short-term assets, which can be released for cash at short notice without significant loss.","2025","National Statistics Office","","January/December","","Fiscal projections are based on the March 2026 forecast of the Office for Budget Responsibility (OBR) and the January 2026 release on public sector finances from the Office for National Statistics (ONS). The IMF staff’s projections take the OBR forecast as a reference and overlay adjustments for differences in assumptions. Data are presented on a calendar year basis.","Accrual","","","Central Government; Local Government","Nominal value","Currency and Deposits; Loans; Securities Other than Shares","","British pound","-1.735","-5.118","-1.751","-2.646","-1.942","-0.534","0.153","3.011","11.685","13.166","1.069","-10.136","-29.457","-39.809","-32.659","-25.141","-14.776","1.157","17.647","25.733","33.680","20.912","-6.891","-22.581","-22.309","-21.580","-16.738","-14.716","-56.151","-132.682","-108.593","-77.303","-96.696","-69.822","-68.378","-58.427","-33.443","-14.203","-12.216","-21.449","-250.417","-126.117","-26.845","-101.457","-116.298","-83.997","-38.632","-12.753","8.109","36.219","48.305","50.306"
"IMF.RES:WEO(9.0.0)","MLT.LE.A","OBS_VALUE","Malta","Employed persons, Persons for countries / Index for country groups","Annual","Millions","","9/10/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","Historical data source: Eurostat, Labor Force Survey.","2024","Other","","","","","","","Harmonized ILO definition","","","","","Euro","","","","0.106","0.107","0.108","0.108","0.117","0.120","0.130","0.132","0.135","0.137","0.136","0.139","0.143","0.145","0.144","0.145","0.146","0.144","0.146","0.148","0.148","0.148","0.150","0.152","0.156","0.160","0.161","0.164","0.169","0.173","0.176","0.182","0.186","0.192","0.219","0.237","0.252","0.258","0.266","0.284","0.303","0.319","0.331","0.339","0.346","","","",""
"IMF.RES:WEO(9.0.0)","USA.GGR_NGDP.A","OBS_VALUE","United States","Revenue, General government, Percent of GDP","Annual","Units","Percent","9/30/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2014","Repatriation tax on foreign earnings (a provision of the 2017 Tax Cuts and Jobs Act), estimated at $250 billion, which accrued at end-2017 and recorded as capital transfer to the government in the GFS, was removed from government revenue. Staff's baseline projection embeds the impact of this tax provision over time to reflect the fact that corporations have eight years to pay off this tax liability. Revenue, expenditure, and net lending data are compiled using SNA 2008, and when translated into GFS this is in accordance with GFSM 2014. Due to data limitations, most series begin 2001. Historical data source: BEA and IMF's Government Finance Statistics Yearbook (revenue, expenditure, and net lending); Flow of Funds (debt). Reporting in calendar year: Yes, Original Federal Government data are in Fiscal year, all else in calendar year.","2025","Other","","January/December","","Fiscal projections are based on the February 2026 Congressional Budget Office baseline, adjusted for the IMF staff’s policy and macroeconomic assumptions. Projections incorporate the effects of the One Big Beautiful Bill Act (OBBBA).","Accrual","","","Central Government; State Government; Local Government","Nominal value","Currency and Deposits; Financial Derivatives; Insurance Technical Reserves","","US dollar","","","","","","","","","","","","","","","","","","","","","","32.257","29.877","29.266","29.476","30.853","31.656","31.649","30.532","28.222","28.770","29.080","29.109","31.222","31.298","31.501","30.977","30.400","30.014","30.014","30.609","31.762","33.075","29.622","29.879","30.880","30.437","30.531","30.383","30.396","30.648","30.761"
"IMF.RES:WEO(9.0.0)","USA.NGDP_D.A","OBS_VALUE","United States","Gross domestic product (GDP), Price deflator, Index","Annual","Units","Index","9/30/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","System of National Accounts (SNA) 2008","Real GDP determined by chained Fisher quantity growth rates.","2025","National Statistics Office","2017","January/December","Yes, from 1980","","","","","","","","","US dollar","39.372","43.097","45.760","47.552","49.268","50.826","51.849","53.134","55.008","57.165","59.304","61.310","62.707","64.194","65.564","66.939","68.164","69.340","70.119","71.111","72.722","74.360","75.515","77.006","79.077","81.556","84.072","86.349","88.013","88.556","89.632","91.481","93.184","94.770","96.421","97.316","98.241","100.000","102.291","103.979","105.377","110.186","118.023","122.390","125.428","128.986","132.681","135.595","137.821","140.271","142.849","145.428"
"IMF.RES:WEO(9.0.0)","G205.NID_NGDP.A","OBS_VALUE","Latin America and the Caribbean (LAC)","Gross capital formation, Percent of GDP","Annual","Units","Percent","","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","","","","","","","","","","","","","","","23.739","23.885","22.087","17.862","18.289","19.208","18.201","20.443","20.802","20.719","18.421","19.098","19.554","21.058","22.568","18.969","18.831","20.054","20.827","19.430","19.979","19.290","19.009","18.723","20.001","19.880","20.786","22.099","23.272","20.615","22.073","22.547","22.331","22.499","21.469","20.562","19.356","18.833","19.154","18.885","17.966","20.569","20.467","19.376","19.480","19.017","19.018","19.333","19.509","19.651","19.767","19.885"
"IMF.RES:WEO(9.0.0)","HND.NGDPPC.A","OBS_VALUE","Honduras","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","Domestic currency","9/26/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","System of National Accounts (SNA) 1993","Latest actual data is 2025Q3.","2024","Central Bank","2000","January/December","No","","","","","","","","","Honduran lempira","2149.934","2123.014","2172.533","2211.009","2354.630","2452.386","2561.265","2711.186","2923.949","3254.857","4064.545","4823.688","5156.090","5919.525","6996.651","8934.711","10458.398","12425.837","13826.474","14381.522","16214.333","17522.318","18614.962","20060.897","22127.364","24570.564","26941.691","29811.515","32750.584","33655.140","35774.607","39227.744","41462.461","42358.828","45749.522","49841.940","52688.257","56674.514","58911.677","61328.390","56725.516","65689.094","73538.180","79400.773","84973.124","93608.786","99337.758","105967.415","112647.771","119793.671","127443.387","135635.227"
