"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2011",47.943,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2011",14.854,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2011",23.618,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2011",9.208,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2011",0.263,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2011",24.426,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2011",7.986,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2011",12.219,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2011",3.981,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2011",0.24,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2011",23.517,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2011",6.868,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2011",11.399,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2011",5.227,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2011",0.023,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","2011",47.943,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","2011",6.166,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","2011",3.604,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","2011",5.084,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","2011",7.455,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","2011",9.103,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","2011",0.331,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","2011",4.704,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_8","2011",2.025,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_9","2011",9.208,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_0","2011",0.172,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_X","2011",0.091,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_TOTAL","2011",24.426,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_1","2011",3.53,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_2","2011",1.851,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_3","2011",2.605,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_4","2011",2.16,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_5","2011",3.43,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_6","2011",0.24,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_7","2011",4.461,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_8","2011",1.928,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_9","2011",3.981,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_0","2011",0.172,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_X","2011",0.068,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_TOTAL","2011",23.517,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_1","2011",2.636,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_2","2011",1.753,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_3","2011",2.479,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_4","2011",5.295,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_5","2011",5.673,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_6","2011",0.091,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_7","2011",0.243,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_8","2011",0.097,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_9","2011",5.227,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_0","2011",0,,,,
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_X","2011",0.023,,,,
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2010",46.526,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2010",14.37,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2010",25.373,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2010",6.532,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2010",0.25,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2010",23.363,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2010",7.682,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2010",12.613,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2010",2.866,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2010",0.201,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2010",23.163,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2010",6.688,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2010",12.76,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2010",3.666,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2010",0.049,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2010",46.526,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2010",4.64,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2010",4.726,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2010",5.004,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2010",6.669,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2010",12.545,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2010",0.06,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2010",4.46,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2010",1.64,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2010",6.532,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2010",0.132,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2010",0.118,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2010",23.363,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2010",2.74,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2010",2.025,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2010",2.917,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2010",1.895,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2010",5.073,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2010",0.054,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2010",4.095,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2010",1.496,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2010",2.866,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2010",0.128,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_X","2010",0.074,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2010",23.163,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2010",1.901,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2010",2.701,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2010",2.087,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2010",4.773,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2010",7.472,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2010",0.005,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2010",0.365,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2010",0.144,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2010",3.666,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2010",0.004,,,,"S3:20_T2:83"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_X","2010",0.044,,,,"S3:20_T2:83"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2007",51.605,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2007",14.863,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2007",28.103,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2007",8.55,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2007",27.21,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2007",8.392,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2007",15.106,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2007",3.622,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2007",24.396,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2007",6.469,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2007",12.997,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2007",4.928,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","2007",51.605,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","2007",5.595,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","2007",3.307,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","2007",5.961,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","2007",8.918,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","2007",9.751,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","2007",0.349,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","2007",6.827,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_8","2007",2.258,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_9","2007",8.55,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_0","2007",0.089,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_X","2007",,"U",,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_TOTAL","2007",27.21,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_1","2007",3.343,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_2","2007",1.675,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_3","2007",3.374,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_4","2007",2.763,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_5","2007",3.743,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_6","2007",0.251,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_7","2007",6.191,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_8","2007",2.158,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_9","2007",3.622,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_0","2007",0.089,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_X","2007",,"U",,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_TOTAL","2007",24.396,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_1","2007",2.252,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_2","2007",1.631,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_3","2007",2.586,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_4","2007",6.155,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_5","2007",6.008,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_6","2007",0.098,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_7","2007",0.636,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_8","2007",0.1,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_9","2007",4.928,,,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_0","2007",,"U",,,"S3:21"
"ABW","BA:829","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_X","2007",,"U",,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2000",41.918,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2000",10.952,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2000",23.391,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2000",7.298,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2000",0.274,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2000",22.499,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2000",6.391,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2000",13.006,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2000",2.882,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2000",0.217,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2000",19.42,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2000",4.56,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2000",10.385,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2000",4.416,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2000",0.058,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","2000",41.918,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","2000",3.762,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","2000",2.545,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","2000",4.645,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","2000",7.696,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","2000",8.145,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","2000",0.323,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","2000",5.126,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_8","2000",2.101,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_9","2000",7.298,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_0","2000",0.134,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_X","2000",0.14,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_TOTAL","2000",22.499,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_1","2000",2.413,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_2","2000",1.44,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_3","2000",2.538,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_4","2000",2.361,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_5","2000",3.571,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_6","2000",0.292,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_7","2000",4.806,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_8","2000",1.976,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_9","2000",2.882,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_0","2000",0.134,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_M","OCU_ISCO88_X","2000",0.083,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_TOTAL","2000",19.42,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_1","2000",1.349,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_2","2000",1.105,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_3","2000",2.106,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_4","2000",5.335,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_5","2000",4.574,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_6","2000",0.032,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_7","2000",0.319,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_8","2000",0.125,,,,"S3:21"
"ABW","AA:22","EMP_TEMP_SEX_OCU_NB","SEX_F","OCU_ISCO88_9","2000",4.416,,,,"S3:21"
